unidade_origem,unidade_responsavel,dia_semana,mes_fato,ano_fato,data_fato,consolidado,especificacao_crime,causa_presumivel,meio_empregado_sisp,bairros,local_ocorrencia,vit_fx_etaria,vit_sexo,vit_cor_pele,vit_grau_inst,grau_de_relacionamento,relato,aut_sexo,turno,periodo,consolidado_stratified
MOSQUEIRO - 9ª SECCIONAL - 1ª RISP- 15ª E 16ª AISP,MOSQUEIRO - 9ª SECCIONAL - 1ª RISP- 15ª E 16ª AISP,DOM,JUNHO,2019,2019-06-30,ESTUPRO DE VULNERAVEL,Nao informado,OUTRAS,OUTROS MEIOS,BAIA DO SOL,RESIDENCIA PARTICULAR,CRIANCA (0 A 11 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<p>O relator na qualidade de Sarg/PM apresenta nesta Seccional o nacional MARIO BASTOS DOS SANTOS, de 74 anos de idade pelo fato do mesmo está sendo acusado de ter abusado sexualmente a criança MARIA LUIZA BARBOSA RODRIGUES, de 08 anos de idade dentro da própria residencia da vitima enquanto esta assistia televisão.Registra-se para os fins legais.///////</p><p><br></p><p><br></p>",M,TARDE,1 SEMESTRE DE 2019,ESTUPRO DE VULNERAVEL
"ICOARACI - 8ª SECCIONAL - 1ª RISP - 11ª, 12ª E 13ª AISP ","ICOARACI - 8ª SECCIONAL - 1ª RISP - 11ª, 12ª E 13ª AISP ",TER,NOVEMBRO,2019,2019-11-05,LESAO CORPORAL,Nao informado,OUTRAS,OUTROS MEIOS,AGULHA,VIA PUBLICA,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"<p>A relatora compareceu nesta Seccional Urbana de Icoaraci no dia, hora e local acima mencionado para comunicar que no dia 05/11/2019 as 17:00 foi agredida por WESLEY RICARDO LIMA que reside na Rua Jose Soares Montenegro nº 136 entre Ivan Leão e Santa Maria – Agulha, motivo da agressão foi por fofoca que soube que a relatora falava mal da esposa dele Patrícia e Wesley foi ate o Escritório da relatora e na hora da saída Patrícia começou a discutir e apontando o dedo na cara da relatora e Wesley ficou bem ao lado e quando Patrícia partiu para agredir patrícia Wesley se meteu e agrediu a relatora lhe engasgou lesionado o Pescoço, a Boca e ainda rasgou sua roupa. Registra-se////////////////////</p>",Nao informado,TARDE,2 SEMESTRE DE 2019,LESAO CORPORAL
Nao informado,Nao informado,DOM,ABRIL,2023,2023-04-09,AMEACA,Nao informado,OUTRAS,SEM INSTRUMENTO,TERRA FIRME,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<P>A SRA.&NBSP;MARIA LUCILENE DOS SANTOS CUNHA COMPARECE NESTA UIPP TERRA FIRME PARA COMUNICAR QUE, EM DATA E HORA SUPRACITADOS, ENCONTRAVA-SE EM SUA RESIDENCIA, NA PASS. MARIA, 17 ENTRE CELSO MALCHER E DOIS DE JUNHO, TERRA FIRME, JUNTAMENTE COM DUAS CRIANCAS, ENQUANTO SEU VIZINHO QUE RESIDE NA CASA AO LADO, NA PASS. MARIA,&NBSP;Nº 19, ENTRE CELSO MALCHER E DOIS DE JUNHO, TERRA FIRME,&NBSP;ENCONTRAVA-SE INGERINDO BEBIDA ALCOOLICA, COM SUA ESPOSA MARCIELEM SILVA, ALEM DE MAIS PESSOAS, NAO SABENDO INFORMAR A QUANTIDADE, NO QUINTAL, COM O SOM E FAZENDO ALGAZARRA, GRITANDO ATE AS 01H00 DA MANHA, QUE A RELATORA TERIA CHEGADO DO TRABALHO E COMO NAO AMENIZAVA O BARULHO, MANDOU UM AUDIO PARA A PROPRIETARIA DO IMOVEL DOS VIZINHOS, SRA. JANE RELATANDO O FATO, QUE A RELATORA ACREDITA QUE A PROPRIETARIA TERIA SE COMUNICADO COM OS MESMOS, POIS ESTES ABAIXARAM O VOLUME DO SOM E PASSARAM A VOLTAR-SE CONTRA A DECLARANTE, COM PALAVRAS OBSCENAS DO TIPO "" VAO SE FUDER, VAO TOMAR NO CU"" (TEXTUAIS), DITAS PELA SRA. MARCIELEM SILVA E SEU ESPOSO, CUJO NOME A RELATORA NAO SABE INFORMAR, QUE APOS ISSO O ESPOSO DE MARCIELEM TERIA DITO A RELATORA QUE ""ELA NAO SABIA COM QUEM ESTAVA SE METENDO, QUE IRIAM COMPRAR A CASA E IAM TOCAR O TERROR..."" (TEXTUAIS), QUE O MESMO TERIA DITO AINDA ""ABRE A JANELA QUE TU VAIS VER SO"" (TEXTUAIS) TENDO A RELATORA FICADO TEMEROSA DO QUE PODERIA ACONTECER-LHE POIS ESTAVA SOZINHA NA CASA COM DUAS CRIANCAS. REGISTRA O FATO PARA AS PROVIDENCIAS CABIVEIS.///////////////////////</P>",Nao informado,NOITE,1 SEMESTRE DE 2023,AMEACA
"ICOARACI - 8ª SECCIONAL - 1ª RISP - 11ª, 12ª E 13ª AISP ","ICOARACI - 8ª SECCIONAL - 1ª RISP - 11ª, 12ª E 13ª AISP ",DOM,JANEIRO,2020,2020-01-19,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,CRUZEIRO,RESIDENCIA PARTICULAR,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<p>A relatora compareceu nesta Seccional Urbana de Icoaraci no dia, hora e local acima mencionado para comunicar que no dia 19/01/2020 as 17:00 DANIELA ANDRADE que reside na Passagem Menino de Deus, Rua de Acesso Rua do Chiteua em Frente a casa 17 ao Lado da venda Açaí fica se passando pela relatora pelo whatsapp e mandando fotos de mulheres nuas e sacanagem para os amigos da relatora e fica ameaçando a relatora dizendo VOU TE PEGAR SUA VAGABUNDA E FAZ SINAIS COM A MÃO TIPO DANDO SOCO. Registra-se/////////////////////</p>",Nao informado,TARDE,1 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,DOM,MAIO,2023,2023-05-07,LESAO CORPORAL,VIOLENCIA DOMESTICA,ÓDIO OU VINGANÇA,OUTROS MEIOS,CONDOR,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,COMPANHEIRO(A),"<P>QUE, COMPARECEU A ESSA ESPECIALIZADA PARA DENUNCIAR SEU COMPANHEIRO <U><B>SILVESTRE CARNEIRO SOARES</B>, RG: 5341581 PC/PA, CPF: 001.716.252-18, NASCIDO EM 20/01/1991, RESIDENTE NA RUA NOVA PRIMEIRA, Nº112, BAIRRO: CONDOR, BELEM-PA, CELULAR: 91 98168-8570</U>. COM QUEM NAMOROU POR 8 MESES E DECIDIRAM MORAR JUNTOS HA 1 MES, SEM FILHOS. RELATA QUE SILVESTRE E UMA PESSOAL AGRESSIVA, SEMPRE CONVERSAVA AOS GRITOS E EMPURRAVA A RELATORA; QUE, NO DIA 07/05/2023 POR VOLTA DE 21:00, A RELATORA QUESTIONOU SOBRE ESPERMA QUE ENCONTROU NA BERMUDA DE SILVESTRE. SILVESTRE ALTEROU-SE E INICIOU UMA DISCUSSAO, SILVESTRE PERGUNTOU O VALOR DO SALARIO DA RELATORA. A RELATORA DISSE QUE NAO FALARIA, SILVESTRE FICOU AGRESSIVO, COMECOU A GRITAR, PEGOU UMA GARRAFA PLASTICA DA GELADEIRA E DESFERIU CONTRA A RELATORA MAS ACERTOU O GUARDA ROUPA. VINDO A QUEBRA-LA, SILVESTRE COMECOU A GRITAR E SUBIU NA CAMA, DESFERIU DOIS SOCOS NO ROSTO DA RELATORA, UM TAPA NA CABELA, PUXOES DE CABELO E EMPURROU A RELATORA, DISSE: “ERA ISSO QUE TU QUERIA? AGORA TU VAI APANHAR – TEXTUAIS”, A RELATORA TENTOU ARRANHAR SILVESTRE COM AS SUAS UNHAS PARA CESSAR AS AGRESSOES. SILVESTRE CONTINUOU A DESFERIR TAPAS NA CABECA DA RELATORA. FOI OFERECIDO ABRIGO E A RELATORA NAO APRESENTOU HEMATOMAS MAS FOI ENCAMINHADA PARA EXAME DE LESAO CORPORAL. FOI OFERECIDO MEDIDAS PROTETIVAS E A RELATORA REQUERERA AS SEGUINTES: APROXIMACAO DA OFENDIDA, DE SEUS FAMILIARES E DAS TESTEMUNHAS, FIXANDO O LIMITE MINIMO DE DISTANCIA ENTRE ESTES E O AGRESSOR; CONTATO COM A OFENDIDA, SEUS FAMILIARES E TESTEMUNHAS POR QUALQUER MEIO DE COMUNICACAO; FREQUENTAR DETERMINADOS LUGARES A FIM DE PRESERVAR A INTEGRIDADE FISICA, PSICOLOGICA DA OFENDIDA. REGISTRA-SE/////////////////////////</P>",M,NOITE,1 SEMESTRE DE 2023,LESAO CORPORAL
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,SAB,JULHO,2020,2020-07-18,LESAO CORPORAL,Nao informado,OUTRAS,OUTROS MEIOS,MARACANGALHA,OUTROS LOCAIS,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO MEDIO INCOMPLETO,NAO INFORMADO,"A RELATORA ACIMA QUALIFICADA COMUNICA, ATRAVÉS DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS FOI VÍTIMA DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER (LESÃO CORPORAL), CONFORME O SEGUINTE RELATO:ONTEM  DIA 18/07/2020 POR VOLTA DE 23:50 DA NOITE EU TAYNARA MOREIRA DESCOBRIR UMA TRAIÇÃO , PELO QUAL AMANDA LOBATO ME MANDOU CONVITE NO FACEBOOK DIZENDO QUE SAIU COM OPOSTO MARCOS DOS SANTOS PINHEIRO.. A QUAL EU TAYNARA FUI PEDIR SASTIFACAO, E DEI UM TAPA NO CANGOTE DELE. E A QUAL ELE MESMO REVIDOU E CHEGOU A ME AGREDIR. . MINDEU UM SOCO NO ROSTO E NA BOCA..A QUAL ESTA TUDO ROXO=====================DADOS DO DENUNCIADO=====================NOME: MARCOS DOS SANTOS PINHEIRIENDEREÇO: TV ARARA, 16, QUADRA 60BAIRRO: MARACANGALHACIDADE: BELÉM/PA",Nao informado,NOITE,2 SEMESTRE DE 2020,LESAO CORPORAL
Nao informado,Nao informado,QUA,SETEMBRO,2021,2021-09-22,LESAO CORPORAL,VIOLENCIA DOMESTICA,OUTRAS,OUTROS MEIOS,AGULHA,RESIDENCIA PARTICULAR,ADULTO II (25 A 29 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,COMPANHEIRO(A),"<P>A RELATORA ACIMA IDENTIFICADA COMPARECEU A ESTA UIPP DO TENONE PARA COMUNICAR QUE FOI VITIMA DE AMEACA, FATO PRATICADO POR SUA COMPANHEIRA SHEYLA&NBSP;ROSANA&NBSP;DE&NBSP; FARIAS&NBSP;DOS&NBSP;SANTOS, QUE NO DIA DE HOJE 22/09/2021 POR VOLTA DAS 11:00 HORAS, A MESMA FOI AO TRABALHO DA RELATORA, QUE FICA LOCALIZADA NA RODOVIA AUGUSTO MONTENEGRO, RESTAURANTE DO CHEFE, E COMECOU A AMEACA-LA , DIZENDO QUE IA ENCHER A RELATORA DE FACADAS, POIS&NBSP;SHEYLA ROSANA NAO SE CONFORMA COM A SEPARACAO, QUE NO DIA ANTERIOR A ESTE FATO , ROSANA AGREDIU A RELATORA COM UM SOCO NO ROSTO, FATO OCORRIDO NO DIA 21/09/2021, NA RESIDENCIA DO RELATORA. REGISTRA-SE PARA AS DEVIDAS PROVIDENCIAS./////////////</P>",F,MANHA,2 SEMESTRE DE 2021,LESAO CORPORAL
TERRA FIRME - UNIDADE INTEGRADA PROPAZ - 1ª RISP - 6ª AISP,TERRA FIRME - UNIDADE INTEGRADA PROPAZ - 1ª RISP - 6ª AISP,TER,OUTUBRO,2020,2020-10-27,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,TERRA FIRME,HOSPITAL,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"<p>A cidadã acima qualifica comunica nesta UIPP-TERRA FIRME QUE em data e hora acima mencionados foi ameaçada pela nacional GEANE MIRANDA SERRÃO, Residente na travessa Angustura, Ed. Rio Mendonça&nbsp;n°2932&nbsp;entre AV. Duque de Caxias e Romulo Maiorana, Bairro do Marco; QUE&nbsp;é lotada na unidade de saúde em que a relatora é Diretora, UNIDADE MUNICIPAL DE SAÚDE DA TERRA FIRME, que GEANE entrou na sala da relatora aos gritos ameaçando a relatora dizendo que vai destruir a relatora e sua filha, e disse que "" DESGRAÇADA, VAGABUNDA,"" "" VOCÊ TEM UM CARGO DE MERDA"" ""TU NÃO SERVE PRA NADA"" "" VOU TE PERSEGUIR E TE DESTRUIR, TU E TUA FILHA"", (textuais"") que o motivo de GEANE estar com raiva seria pelo fato de que a relatora deu algumas faltas á Geane, pelo motivo da servidora não cumprir com o seu horário de trabalho, QUE a relatora afirma ainda que os atrasos de GEANE, se prolonga de meses, e que o fato ocorrido foi presenciado por vários funcionários e usuários entre as quais, as servidoras,&nbsp; IZANETE ALMADA e MARLENE LISBOA Registra-se.</p>",Nao informado,MANHA,2 SEMESTRE DE 2020,AMEACA
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,QUI,DEZEMBRO,2020,2020-12-17,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,COTIJUBA,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,NAO INFORMADO,"<p>Comparece nessa especializada, a relatora acima qualificada, para denunciar o nacional &nbsp;<b>MARCELO ANDERSON SILVA DOS SANTOS, paraense, natural de Belém-Pa, FILIAÇÃO: DOMINGOS SEBASTIAO DOS SANTOS/ HORTENCIA MARIA FAUSTINA SILVA, RG: 4378898, ENDEREÇO: TRAVESSA ALFERES COSTA, N°02, BAIRRO: SACRAMENTA, CIDADE DE BELÉM-PARÁ, TELEFONE: NÃO POSSUI TELEFONE PARA CONTATO; </b>QUE teve um relacionamento de 01 (um) ano, não tendo filhos e estão separados há 03(três) anos; QUE atualmente o aceita numa boa o fim da relação, mas a mesma afirma que sempre quando o mesmo faz uso de drogas, o mesmo persegue, ameaça, perturba a relatora, indo até a residencia da mesma; QUE relata ter duas casas, uma localizada na cidade nova VIII, e outra em cotijuba; QUE na data 17/12/2020, por volta das 22:00 hrs, o acusado foi até a residencia da relatora, que fica localizada em cotijuba, e quando o mesmo chegou lá, foi chutando o portão de madeira e quebrando-o, e gritando, <b>TEXTUAIS “ ME DA DINHEIRO, SE NÃO EU VOU QUEBRAR TODA A TUA CASA, VOU INCENDIAR TUDO AQUI, VOU QUEBRAR TUDO, SUA SAFADA, SUA PUTA, SUA VAGABUNDA”. </b>QUE quando a relatora viu o que MARCELO estava fazendo, tentou intervir, foi no momento em que o mesmo começou a jogar tijolos em cima da casa que estavam empilhados; QUE pediu para MARCELO parar de fazer aquilo, perguntando o que o mesmo tinha naquele momento para estar agindo daquela forma, passando a responder, <b>TEXTUAIS “ QUERO DINHEIRO PORRA, PRA EU IR EMBORA”</b>; QUE a mesma deu R$20,00 para o acusado ir embora, mas o mesmo não se contentou; QUE MARCELO, após ter visto a quantia, passou a bater na grade com uma “pernamanca” e quando a relatora viu que ele estava transtornado ela abriu a porta e disse “calma, tá aqui vou abrir”, foi então que quando abriu, correu em direção a praia e tentou pedir socorro; QUE MARCELO estava completamente fora de si e a mesma acha que ele estava sob efeito de drogas e que devido a essas situações deseja que sejam tomadas medidas necessárias que parem o acusado; <b>QUE DESEJA REPRESENTAR CRIMINALMENTE PELO CRIME DE AMEAÇA CONTRA&nbsp;MARCELO ANDERSON SILVA DOS SANTOS; QUE NÃO ACEITOU CASA ABRIGO; QUE NÃO APRESENTOU TESTEMUNHA; QUE DESEJA SOLICITAR AS MEDIDAS PROTETIVAS DE URGÊNCIA, TAIS COMO: I - CONTRA O AGRESSOR: III - Proibição de determinadas condutas, entre as quais:a) Aproximação da ofendida, de seus familiares e das testemunhas, fixando o limite mínimo de distância entre estes e o agressor.b) Contato com a ofendida, seus familiares e testemunhas por qualquer meio de comunicação;c)&nbsp;Frequentar determinados lugares a fim de preservar a integridade física, psicológica da ofendida, como deixar de frequentar A CASA QUE FICA LOCALIZADA EM COTIJUBA E A QUE FICA LOCALIZADA NA CIDADE NOVA VIII; REGISTRA-SE PARA AS DEVIDAS PROVIDÊNCIAS////////</b></p>",Nao informado,NOITE,2 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,SAB,FEVEREIRO,2023,2023-02-04,AMEACA,Nao informado,ÓDIO OU VINGANÇA,OUTROS MEIOS,JURUNAS,INTERNET,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"<P>QUE, COMPARECEU A ESSA ESPECIALIZADA PARA DENUNCIAR SEU EX MARIDO <U><B>RODRIGO DE LIMA MENDES GIL GOMES</B>, RG: 2848229, NASCIDO EM 26/02/1977, RESIDENTE NA AV. COMANDANTE BRAS DE AGUIAR, CONJUNTO JARDIM IPIRANGA, BLOCO C, APTO: 203, BAIRRO: NAZARE, BELEM-PA, CELULAR: 91 99187-6963.</U> COM QUEM FOI CASADA 7 ANOS E POSSUEM UMA FILHA DE 19 ANOS, RELATA QUE SE SEPARARAM HA 17 ANOS E JUDICIALMENTE FOI DETERMINADO UM VALOR DE PENSAO MENSAL A FILHA, MAS RODRIGO NUNCA PAGOU O VALOR DETERMINADO, PAGA SOMENTE O VALOR QUE QUER. ATUALMENTE A FILHA RECORREU NA JUSTICA PARA REVISAO DA PENSAO, CAUSANDO REVOLTA EM RODRIGO QUE COMECOU A AMEACAR A RELATORA; QUE, NO DIA 04/02/2023 POR VOLTA DE 17:30, RODRIGO DISSE<B>: “TU TA DOPANDO MINHA FILHA, TERCA FEIRA VAMOS BATER O MARTELO, VOCE VAI SE ARREPENDER, EU VOU TE BOTAR PRESA – TEXTUAIS”.</B> ADEMAIS, RODRIGO FAZ VIOLENCIA PSICOLOGICA COM A FILHA QUE NAO CONSEGUE DENUNCIAR POR ESTA ABALADA PSICOLOGICAMENTE E FAZ TRATAMENTO. FOI OFERECIDO ABRIGO E A RELATORA NAO TEM INTERESSE, FOI OFERECIDO MEDIDAS PROTETIVAS E A RELATORA REQUERERA AS SEGUINTES: PROIBICAO DE APROXIMACAO DA OFENDIDA, DE SEUS FAMILIARES E DAS TESTEMUNHAS, FIXANDO O LIMITE MINIMO DE DISTANCIA ENTRE ESTES E O AGRESSOR; PROIBICAO DE MANTER CONTATO COM A OFENDIDA, SEUS FAMILIARES E TESTEMUNHAS POR QUALQUER MEIO DE COMUNICACAO; PROIBICAO DE FREQUENTAR DETERMINADOS LUGARES A FIM DE PRESERVAR SUA INTEGRIDADE FISICA E MENTAL. DESEJA REPRESENTAR CRIMINALMENTE CONTRA RODRIGO DE LIMA MENDES GIL GOMES, RG: 2848229, NASCIDO EM 26/02/1977, RESIDENTE NA AV. COMANDANTE BRAS DE AGUIAR, CONJUNTO JARDIM IPIRANGA, BLOCO C, APTO: 203, BAIRRO: NAZARE, BELEM-PA, CELULAR: 91 99187-6963. REGISTRA-SE///////////////////////////</P>",Nao informado,TARDE,1 SEMESTRE DE 2023,AMEACA
Nao informado,Nao informado,SAB,AGOSTO,2022,2022-08-27,LESAO CORPORAL,VIOLENCIA DOMESTICA,CIÚME,OUTROS MEIOS,GUAMA,RESIDENCIA PARTICULAR,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,COMPANHEIRO(A),"<P>QUE, VEIO A ESSA ESPECIALIZADA NO DIA 27 DE AGOSTO DE 2022 PARA DENUNCIAR QUE FOI VITIMA DE <B>AGRESSAO FISICA</B> PERPETRADA POR SEU COMPANHEIRO <B>JOVANILSON ALVES DE JESUS, NASCIDO EM 28/05/1991, RG: 6502656-0, CPF: 19672262 - 45, FILIACAO BENEDITA DO SOCORRO AGUIAR ALVES E JOANI MATIAS DE JESUS. RESIDENTE EM RUA AUGUSTO CORREA PASS JOELI N 16 GUAMA BELEM PA. NAO SABENDO INFORMAR O CONTATO TELEFONICO.</B> COM QUEM TEM UM RELACIONAMENTO DE APROXIMADAMENTE 01 NOS, ESTANDO JUNTOS ATE A PRESENTE DATA, NENHUM FILHO RESULTANTE DESSE RELACIONAMENTO. QUE, NO DIA 27 DE AGOSTO DE 2022 POR VOLTA 16H30 O DECLARADO ENTROU PELA JANELA DA RESIDENCIA ONDE A DECLARANTE ESTAVA E ENTROU NO QUARTO E PEGOU O APARELHO TELEFONICO DA DECLARANTE; E DISSE<B> DESFERIU UM SOCO NA TESTA DA DECLARANTE</B>, A DECLARANTE TENTOU PEGAR O SEU APARELHO TELEFONICO COM O <U><B>DECLARADO &NBSP;DESFERIU 02 SOCOS NA CABECA E UM SOCO NAS COSTAS, E OUTRO SOCO NO BRACO ESQUERDO DA DECLARANTE</B></U>; E O DECLARADO SE RETIROU DA RESIDENCIA LEVANDO O APARELHO TELEFONICO DA DECLARANTE; QUE, A DECLARANTE RELATA QUE NA MANHA DO DIA 27 DE AGOSTO ROMPEU O RELACIONAMENTO COM O DECLARADO POR CONTA DO CIUMES EXCESSIVO DO MESMO, E QUE A NOITE O DECLARADO ESTAVA SOB O EFEITO DE ALCOOL. QUE, O RELACIONAMENTO APRESENTA CUNHO ABUSIVO E AGRESSIVO ONDE JA HOUVE CENARIOS DE VIOLENCIAS FISICAS E PSICOLOGICAS E TEME AS ACOES DO DECLARADO PELO FATO DO MESMO FAZER O USO DE ENTORPECENTES E AMEACA A DECLARANTE DE FORMA CORRIQUEIRA; MEDIANTE AS ACOES DO DECLARADO SOLICITA AS SEGUINTES MEDIDAS PROTETIVAS; <B>PROIBICAO DE APROXIMACAO DA OFENDIDA, DE SEUS FAMILIARES E DAS TESTEMUNHAS, FIXANDO O LIMITE MINIMO DE DISTANCIA ENTRE ESTES E O AGRESSOR; PROIBICAO DE MANTER CONTATO COM A OFENDIDA, SEUS FAMILIARES E TESTEMUNHAS POR QUALQUER MEIO DE COMUNICACAO; PROIBICAO DE FREQUENTAR DETERMINADOS LUGARES (RESIDENCIA DA OFENDIDA) A FIM DE PRESERVAR SUA INTEGRIDADE FISICA E MENTAL</B>; RESTITUICAO DE BENS INDEVIDAMENTE SUBTRAIDOS PELO AGRESSOR A OFENDIDA (MOTOROLA G10). QUE, NAO APRESENTOU TESTEMUNHAS, NAO ACEITA ABRIGO PUBLICO, SERA ENCAMINHADA PARA EXAME DE LESAO CORPORAL. REGISTRA-SE PARA AS DEVIDAS PROVIDENCIAS.////</P>",M,TARDE,2 SEMESTRE DE 2022,LESAO CORPORAL
MARAMBAIA - 5ª SECCIONAL - 1ª RISP - 9ª AISP,SACRAMENTA - 1ª SECCIONAL - 1ª RISP - 7ª AISP,QUA,MAIO,2019,2019-05-01,AMEACA,Nao informado,DEVASSIDÃO,OUTROS MEIOS,TELEGRAFO,VIA PUBLICA,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO INCOMPLETO,NAO INFORMADO,"<p>A relatora acima identificada comparece nesta Seccional de Policia Civil para comunicar que está sendo Ameaçada de Morte pelo nacional PAULO RICARDO CHAGAS LEITE, mais conhecido por “CATARATA” residente na passagem das Flores n º 62, próximo a Igreja Universal da Rodovia Arthur Bernardes, Bairro do Telegrafo; Que segundo a relatora, no dia 01/5/2019, por volta das 19h estava indo para igreja, quando o nacional PAULO RICARDO CHAGAS LEITE, se aproximou da relatora e disse : “EU VOU PEGAR UMA ARMA E VOU TE DÁ&nbsp;UM TIRO NA CABEÇA” (textuais); Que segundo a relatora, esse mesmo PAULO RICARDO CHAGAS LEITE, agrediu o filho da relatora om uma perna-manca, e vive dizendo que a relatora é “CAGUETA”, pois a relatora lhe entregou para a guarda municipal; Que segundo a relatora o nacional PAULO RICARDO CHAGAS LEITE, é viciado em drogas e intimida com olhar e gestos, além de insultar a relatora com palavrões. Registra-se.</p>",Nao informado,NOITE,1 SEMESTRE DE 2019,AMEACA
Nao informado,Nao informado,SAB,JANEIRO,2022,2022-01-08,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,MANGUEIRAO,INTERNET,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>O RELATOR ACIMA QUALIFICADO COMUNICA, ATRAVES DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS, OCORREU O CRIME DE AMEACA, CONFORME O SEGUINTE RELATO:<BR><BR>O SUSPEITO PARA ME COAGIR, FALOU QUE MATARIA MINHA MAE. USANDO A SEGUINTE FRASE (EU VOU MATAR SUA MAE, JURO POR DEUS).TUDO POR CONTA QUE EU INFORMEI QUE NAO IRIA MAS RESIDIR EM BELEM COM A NOSSA FILHA,O MESMO SEMPRE POR COVARDIA ME FALAVA QUE IRIA MATAR MINHA MAE E MINHA FAMILIA. EU TENHO VARIOS PRINTS DELE ME AMEACANDO .<BR><BR>SEGUE ABAIXO AS INFORMACOES DO(S) ENVOLVIDO(S) NO FATO:<BR><BR><B>COMUNICANTE / VITIMA 1</B><BR>NOME: LAYLA GABRIELLE MARQUES PACHECO<BR>SEXO: F<BR>DATA DE NASCIMENTO: 07/10/2001<BR>MAE: GYZELLE MARQUES<BR>ENDERECO: TRAVESSA ANTONIO BAENA, 21 - PEDREIRA - BELEM/PA - 66085050<BR>CONTATOS: 91 98583-0232 - LAY.GABY@GMAIL.COM<BR><BR><B>SUSPEITO 1</B><BR>NOME: CAIO VINICIUS DE ANDRADE OLIVEIRA<BR>NOME SOCIAL: CAIO VINICIUS<BR>SEXO: M<BR>MAE: DAYSE ANDRADES<BR>ENDERECO: RUA DA PAZ, MANGUEIRAO - BELEM/PA - 66640315<BR>CONTATOS: 91 9862-2858 - <BR>CUTIS: PARDA<BR>TIPO DE PESCOCO: FINO NORMAL<BR>PESO: 51 A 70 KG<BR>TIPO DE LABIOS: FINOS NORMAL<BR>BIGODE: FINO<BR>TIPO DA ORELHA: GRANDES ABERTAS<BR>BARBA: RALA<BR>COR DOS OLHOS: CASTANHOS<BR>TIPO DOS OLHOS: GRANDES<BR>BOCA: NORMAL<BR>SOBRANCELHA: SEPARADAS GROSSAS<BR>NARIZ: COMPRIDO<BR>TIPO DA TESTA: CURTA NORMAL<BR>ROSTO: REDONDO<BR>COR DO CABELO: CASTANHOS<BR>TIPO DO CABELO: LISOS<BR>COMPLEICAO: MAGRO<BR>ALTURA: 1,61 A 1,70<BR>IDADE APARENTE: 22<BR>DESCRICAO DA VESTIMENTA: NAO INFORMADA<BR>TATUAGENS: PERNA DIREITA - CARPA<BR>TATUAGENS: BRACO DIREITO - PAI E MAE<BR><BR></P>",Nao informado,TARDE,1 SEMESTRE DE 2022,AMEACA
